Group,Excellent ratio,Good ratio,Pass ratio,Fail ratio
0,0.21045793062930593,0.30923722704150064,0.26466361430560675,0.21564122802358682
1,0.1944445316648937,0.26185530152325387,0.37810994444431023,0.1655902223675422
2,0.2627154856931834,0.29129638179066597,0.30825434659907996,0.1377337859170705
3,0.24162803277460526,0.287845068304115,0.3601740870741017,0.11035281184717795
4,0.17319663862478885,0.3786192526986178,0.25781153110738525,0.19037257756920808
5,0.19805211978909376,0.2599048560308565,0.38257073741569264,0.15947228676435693
6,0.20841300881020636,0.2946799003943623,0.343821785243286,0.1530853055521452
7,0.16548854526796716,0.2612288709102776,0.4347774958760792,0.13850508794567604
8,0.14467736338781786,0.14589042529132462,0.6113716129499721,0.09806059837088546
9,0.1557575658309206,0.271281151904914,0.4006091486297619,0.17235213363440333
10,0.11828570033339578,0.19858871387787297,0.42602088533490695,0.2571047004538243
11,0.15049535053787053,0.25611187205683283,0.42613638675107457,0.16725639065422201
12,0.22237355222326677,0.28470922564759493,0.431964886641223,0.06095233548791513
13,0.1599165144972963,0.27527193752748363,0.36782026166741066,0.19699128630780954
14,0.30213817875880045,0.4340472362099513,0.20220577517343308,0.06160880985781514
15,0.19326733805132698,0.2529562570267827,0.42762391840992636,0.12615248651196415
16,0.22062896206180793,0.3320952365064516,0.3965202270758362,0.05075557435590417
17,0.16492717828503278,0.23005026787490468,0.44461865016784663,0.1604039036722162
18,0.1635885807340598,0.23812644709083686,0.5316544213222546,0.06663055085284872
19,0.17835691757748567,0.26931839218580567,0.40628145207998223,0.1460432381567262
20,0.18510513650530055,0.31124123830887895,0.33389722370172625,0.1697564014840941
21,0.17741047258741927,0.24935012987025634,0.45127698492367224,0.12196241261865229
22,0.19730621164414391,0.4309178483072109,0.23932542941017196,0.13245051063847335
23,0.1754830590203026,0.25389786457210073,0.4219520782441661,0.14866699816343065
24,0.17895674146352572,0.4605970092266961,0.15759739949851903,0.2028488498112589
25,0.18094143318103265,0.2701857147092612,0.4093530731696099,0.13951977894009635
26,0.28311205874560946,0.413806945865449,0.21902410398272884,0.08405689140621263
27,0.1764591715574306,0.2575350889400946,0.39014075271004933,0.17586498679242546
28,0.2905437392483512,0.4110265013082032,0.2121739220424395,0.08625583740100612
29,0.19438268756006838,0.25450111542790377,0.4251947641989054,0.12592143281312246
30,0.18514348911210277,0.23431437018318224,0.4769452490624566,0.10359689164225852
31,0.19642026226406395,0.29496648448129087,0.3558683759744084,0.15274487728023678
32,0.0963775574865772,0.12130695709498085,0.7304607800217606,0.051854705396681584
33,0.17555589011980774,0.2769615296900038,0.3919697503887839,0.15551282980140457
34,0.1058311557314805,0.12561211087734364,0.70481479134096,0.06374194205021583
35,0.1880988946569603,0.2716788704023093,0.4035691340725201,0.13665310086821025
36,0.1585249831917883,0.26972760558110287,0.4010596680063145,0.1706877432207944
37,0.17169150341154332,0.2523636352860075,0.4332851983761792,0.14265966292627008
38,0.17365742978418336,0.17540448713867784,0.5587744419557096,0.09216364112142925
39,0.20046052817027302,0.28618649394625495,0.3414227151867307,0.17193026269674128
40,0.36334987949342584,0.2588937863435868,0.3126327003034211,0.0651236338595661
41,0.1845623991823313,0.2640505348525946,0.405453487039013,0.1459335789260611
42,0.16590122784255443,0.25357018309166945,0.49127312464377154,0.08925546442200456
43,0.1729318789329082,0.25252751932213974,0.427602054299921,0.1469385474450311
44,0.1544653586344765,0.21489615165809586,0.415370153920087,0.21526833578734042
45,0.16085454368439606,0.2388010007736905,0.4599934969671044,0.14035095857480903
46,0.17500115754069592,0.1659470691134292,0.5913199959673138,0.06773177737856109
47,0.16758158771251502,0.27136736432233716,0.3804573170553609,0.1805937309097868
48,0.1475950667512827,0.3513938738450302,0.34081399471927837,0.1601970646844088
49,0.15979632386385514,0.2846169180701386,0.35058170028782953,0.20500505777817687
50,0.10187542376902858,0.14540244855477844,0.6861430922782451,0.06657903539794786
51,0.19747927668215826,0.281469884602788,0.3552022928740373,0.16584854584101646
52,0.10577639951194015,0.12131776803083577,0.718961377674075,0.053944454783149236
53,0.17501971021805182,0.2742815281095687,0.3554046309898517,0.1952941306825277
54,0.16064732012339814,0.16950188770441862,0.6068359119097028,0.06301488026248063
55,0.18669425113023283,0.2635644486922422,0.37478181123947346,0.17495948893805152
56,0.10197730577134212,0.11999303181142056,0.7217668707825478,0.05626279163468946
57,0.20915632178394403,0.24392400718386775,0.4128567176363719,0.13406295339581642
58,0.10094191283806282,0.12389069696393298,0.7216894368022406,0.053477953395763604
59,0.18492273641619802,0.27986256560455736,0.382524469123194,0.15269022885605069
60,0.13405687513122166,0.13080501127703184,0.6887469285827263,0.04639118500902012
61,0.18104132758486027,0.25694037651028956,0.4418567697431146,0.12016152616173569
62,0.12938593616578836,0.24902424357675582,0.3845744389182373,0.23701538133921857
63,0.15851254684520477,0.23351551179819408,0.4899775985893325,0.11799434276726867
64,0.15022107478316568,0.2368570458671317,0.40768497052430436,0.20523690882539813
65,0.18147530497669492,0.2606045633177974,0.3785160775536837,0.17940405415182392
66,0.16444345539243216,0.24704490712632515,0.3935403334412406,0.19497130404000207
67,0.1905140943094351,0.2643400863946073,0.3877422666221082,0.15740355267384923
68,0.23863274108906152,0.2993204642707935,0.31537501809756224,0.14667177654258276
69,0.22864396526198555,0.25815520770372236,0.36635821673066354,0.1468426103036286
70,0.12640481240999954,0.38514279849505817,0.22397661754497328,0.2644757715499689
71,0.208321082975594,0.26988978022768534,0.37905687817780936,0.14273225861891128
72,0.24366953792349258,0.2844828790670326,0.30056282119320715,0.17128476181626776
73,0.17385563828840542,0.2510042331873294,0.4262161411570063,0.14892398736725887
74,0.1247962440503573,0.24014331384847132,0.46294209355403587,0.17211834854713548
75,0.19753714401127492,0.2697979605401711,0.40246261721523235,0.1302022782333216
76,0.12865288309419692,0.3779076280479305,0.2551487495383837,0.23829073931948908
77,0.16626709842002096,0.2591893271296538,0.4068951464617924,0.16764842798853274
78,0.13875214041523076,0.2107538294852134,0.5069827494244086,0.14351128067514715
79,0.1891361572239299,0.27788017442351703,0.39518315140565763,0.13780051694689546
80,0.14009810636763498,0.2580107890945277,0.3484309960845071,0.2534601084533301
81,0.15463192631302028,0.24706605882506227,0.45720624654811604,0.14109576831380127
82,0.134956487643296,0.246675907703843,0.3442575021060581,0.27411010254680285
83,0.18424947882173154,0.28108713239558475,0.35954279850091003,0.17512059028177368
84,0.15436676469292646,0.2527690072239036,0.41610703222979806,0.176757195853372
85,0.18757409533951422,0.2718328619449797,0.40216475827236686,0.1384282844431391
86,0.23816247750168804,0.31558994793337974,0.30178797070312285,0.14445960386180945
87,0.1886266413677472,0.24300757636265474,0.414438981952447,0.1539268003171511
88,0.23880729761922814,0.34242449266762726,0.2499841002828855,0.16878410943025898
89,0.19628319338194836,0.2740407231222409,0.4063014801096211,0.12337460338618962
90,0.23672112823309374,0.3929927171444938,0.2077957709889221,0.16249038363349047
91,0.16683704489963033,0.2567565403817328,0.413717843050266,0.16268857166837083
